symbol,entry_time,entry_price,stop_loss_price,exit_price,exit_time,pnl_amount,pnl_pct,quantity
1000BONKUSDC,2025-06-29 00:00:00,0.014494,0.014422,0.014575,2025-06-29 00:30:00,-4459.40,-14.36%,-2142911.000000
1000BONKUSDT,2025-06-29 00:00:00,0.014486,0.014414,0.014569,2025-06-29 00:30:00,-14383.16,-14.38%,-6905023.000000
1000CHEEMSUSDT,2025-06-29 00:00:00,0.001454,0.001447,0.001462,2025-06-29 00:30:00,-83435.71,-138.10%,-41549578.000000
1000PEPEUSDC,2025-06-29 00:00:00,0.009480,0.009433,0.009488,2025-06-29 00:30:00,-17174.75,-21.17%,-8556570.000000
1INCHUSDT,2025-06-29 00:00:00,0.176600,0.175718,0.176700,2025-06-29 00:30:00,-205.91,-1.19%,-98054.000000
ACEUSDT,2025-06-29 00:00:00,0.511000,0.508446,0.511900,2025-06-29 00:30:00,-23.85,-0.57%,-8225.000000
ACTUSDT,2025-06-29 00:00:00,0.042240,0.042029,0.042520,2025-06-29 00:30:00,-883.55,-5.40%,-387521.000000
ACXUSDT,2025-06-29 00:00:00,0.132900,0.132236,0.133800,2025-06-29 00:30:00,-149.44,-2.18%,-51532.000000
AI16ZUSDT,2025-06-29 00:00:00,0.141300,0.140594,0.142200,2025-06-29 00:30:00,-1587.58,-2.05%,-547441.000000
AIXBTUSDT,2025-06-29 00:00:00,0.132050,0.131390,0.132500,2025-06-29 00:30:00,-1021.24,-1.86%,-416833.000000
ALCHUSDT,2025-06-29 00:00:00,0.127550,0.126912,0.127510,2025-06-29 00:30:00,-258.91,-1.54%,-132098.000000
ALPHAUSDT,2025-06-29 00:00:00,0.014110,0.014039,0.014039,2025-06-29 00:25:00,-4977.97,-13.67%,-2579939.000000
ANKRUSDT,2025-06-29 00:00:00,0.013930,0.013860,0.013990,2025-06-29 00:30:00,-534.47,-14.79%,-259450.000000
APEUSDT,2025-06-29 00:00:00,0.599700,0.596702,0.602300,2025-06-29 00:30:00,-438.43,-0.77%,-95311.000000
ARUSDT,2025-06-29 00:00:00,4.971000,4.946147,4.968000,2025-06-29 00:30:00,2.39,0.02%,-2389.000000
ASTRUSDT,2025-06-29 00:00:00,0.022757,0.022643,0.022827,2025-06-29 00:30:00,-196.02,-9.10%,-94698.000000
ATAUSDT,2025-06-29 00:00:00,0.041600,0.041392,0.041800,2025-06-29 00:30:00,-254.30,-5.29%,-115590.000000
AUCTIONUSDT,2025-06-29 00:00:00,8.905000,8.860478,8.917000,2025-06-29 00:30:00,-48.58,-0.16%,-3470.000000
AWEUSDT,2025-06-29 00:00:00,0.055587,0.055309,0.055526,2025-06-29 00:30:00,-279.67,-3.49%,-144233.000000
AXLUSDT,2025-06-29 00:00:00,0.334200,0.332532,0.335500,2025-06-29 00:30:00,-524.42,-0.99%,-158914.000000
B2USDT,2025-06-29 00:00:00,0.473600,0.471232,0.475400,2025-06-29 00:30:00,-372.14,-0.80%,-97931.000000
BABYUSDT,2025-06-29 00:00:00,0.048130,0.047890,0.048290,2025-06-29 00:30:00,-569.19,-4.49%,-263512.000000
BANANAS31USDT,2025-06-29 00:00:00,0.012838,0.012774,0.012845,2025-06-29 00:30:00,-15671.55,-15.63%,-7808446.000000
BANKUSDT,2025-06-29 00:00:00,0.056559,0.056276,0.056959,2025-06-29 00:30:00,-621.52,-4.24%,-258965.000000
BATUSDT,2025-06-29 00:00:00,0.126600,0.125967,0.126800,2025-06-29 00:30:00,-202.01,-1.74%,-91823.000000
BBUSDT,2025-06-29 00:00:00,0.078320,0.077929,0.078290,2025-06-29 00:30:00,-160.91,-2.52%,-81680.000000
BDXNUSDT,2025-06-29 00:00:00,0.030730,0.030577,0.030930,2025-06-29 00:30:00,-795.36,-7.16%,-361527.000000
BRUSDT,2025-06-29 00:00:00,0.079580,0.079182,0.079620,2025-06-29 00:30:00,-826.66,-2.56%,-405224.000000
BSWUSDT,2025-06-29 00:00:00,0.022740,0.022626,0.022750,2025-06-29 00:30:00,-8012.36,-8.84%,-3986249.000000
BUSDT,2025-06-29 00:00:00,0.329140,0.327495,0.329250,2025-06-29 00:30:00,-82.98,-0.64%,-39325.000000
C98USDT,2025-06-29 00:00:00,0.042300,0.042089,0.042400,2025-06-29 00:30:00,-250.95,-4.96%,-119498.000000
CELOUSDT,2025-06-29 00:00:00,0.257000,0.255715,0.257000,2025-06-29 00:30:00,-344.31,-0.78%,-172157.000000
CFXUSDT,2025-06-29 00:00:00,0.072530,0.072167,0.072680,2025-06-29 00:30:00,-929.44,-2.96%,-432296.000000
CGPTUSDT,2025-06-29 00:00:00,0.093250,0.092784,0.092784,2025-06-29 00:30:00,-446.20,-1.65%,-290858.000000
CHESSUSDT,2025-06-29 00:00:00,0.074430,0.074059,0.074400,2025-06-29 00:30:00,-1206.68,-2.65%,-612530.000000
CTKUSDT,2025-06-29 00:00:00,0.297300,0.295814,0.299200,2025-06-29 00:30:00,-760.26,-1.31%,-194938.000000
DEGOUSDT,2025-06-29 00:00:00,1.040400,1.035199,1.048200,2025-06-29 00:30:00,-34.63,-0.94%,-3534.000000
DENTUSDT,2025-06-29 00:00:00,0.000571,0.000568,0.000572,2025-06-29 00:30:00,-29313.24,-350.44%,-14649294.000000
DOGEUSDC,2025-06-29 00:00:00,0.162680,0.161867,0.162950,2025-06-29 00:30:00,-1241.11,-1.40%,-546744.000000
DOGSUSDT,2025-06-29 00:00:00,0.000129,0.000128,0.000129,2025-06-29 00:30:00,-327736.68,-1556.42%,-163868342.000000
DUSKUSDT,2025-06-29 00:00:00,0.051760,0.051501,0.051940,2025-06-29 00:30:00,-238.94,-4.21%,-109606.000000
DYMUSDT,2025-06-29 00:00:00,0.227400,0.226263,0.227200,2025-06-29 00:30:00,-71.55,-0.79%,-39750.000000
EDUUSDT,2025-06-29 00:00:00,0.131800,0.131141,0.131900,2025-06-29 00:30:00,-45.27,-1.59%,-21559.000000
EPICUSDT,2025-06-29 00:00:00,0.816500,0.812419,0.817800,2025-06-29 00:30:00,-23.03,-0.40%,-6978.000000
EPTUSDT,2025-06-29 00:00:00,0.004222,0.004201,0.004258,2025-06-29 00:30:00,-2268.01,-48.22%,-1113953.000000
ETHWUSDT,2025-06-29 00:00:00,1.318100,1.311512,1.321400,2025-06-29 00:30:00,-5.77,-0.40%,-1089.000000
FARTCOINUSDT,2025-06-29 00:00:00,1.094100,1.088636,1.088636,2025-06-29 00:25:00,317.00,0.32%,-91501.000000
FIDAUSDT,2025-06-29 00:00:00,0.066260,0.065929,0.066570,2025-06-29 00:30:00,-2141.96,-3.49%,-927254.000000
FLOWUSDT,2025-06-29 00:00:00,0.324000,0.322384,0.324000,2025-06-29 00:30:00,-15.30,-0.62%,-7648.000000
FORTHUSDT,2025-06-29 00:00:00,2.359000,2.347211,2.358000,2025-06-29 00:30:00,-0.98,-0.04%,-979.000000
FUNUSDT,2025-06-29 00:00:00,0.010129,0.010079,0.010079,2025-06-29 00:05:00,-19378.73,-19.25%,-9939364.000000
FUSDT,2025-06-29 00:00:00,0.009533,0.009486,0.009660,2025-06-29 00:30:00,-22475.00,-22.31%,-10566525.000000
GASUSDT,2025-06-29 00:00:00,2.749000,2.735259,2.750000,2025-06-29 00:30:00,-11.59,-0.11%,-3863.000000
GHSTUSDT,2025-06-29 00:00:00,0.359600,0.357803,0.359600,2025-06-29 00:30:00,-15.20,-0.56%,-7600.000000
